,feature-vector-1,feature-vector-2,label,cluster
0,3.6311724,6.437909,IMG_20210223_102008.jpg,5
1,8.813535,-0.45521984,IMG_20210223_102746.jpg,4
2,4.595418,6.099336,IMG_20200224_132619.jpg,5
3,8.20773,5.2221704,IMG_20200224_132816.jpg,3
4,9.273908,-1.9981693,IMG_20210329_13252995.jpg,4
5,6.7009153,5.526461,IMG_20200224_132427.jpg,3
6,7.4539723,4.805794,IMG_20210223_101844.jpg,3
7,1.2784659,6.6600833,IMG_20210329_132235.jpg,1
8,4.87274,6.443129,IMG_20210223_102418.jpg,5
9,-4.493199,4.7495685,IMG_20210223_102342.jpg,2
10,8.860049,-1.7304938,IMG_20210223_102425.jpg,4
11,8.304859,4.8131266,IMG_20200224_132354.jpg,3
12,5.3684063,6.018949,IMG_20210223_102141.jpg,5
13,-3.252318,5.0165524,IMG_20210329_13252994.jpg,2
14,-4.801688,4.5887394,IMG_20200224_132156.jpg,2
15,6.5788355,5.6713686,IMG_20210223_102035.jpg,3
16,8.331917,-0.3484753,IMG_20210223_102948.jpg,4
17,4.5035186,6.233334,IMG_20210223_102545.jpg,5
18,-3.158615,5.1150503,IMG_20200224_132208.jpg,2
19,5.972438,6.0379,IMG_20210223_101925.jpg,3
20,4.604192,6.1778374,IMG_20210223_101919.jpg,5
21,9.121799,-1.3347331,IMG_20200224_132544.jpg,4
22,8.528416,2.990129,IMG_20200224_1328010.jpg,0
23,8.456033,3.574563,IMG_20210223_102235.jpg,0
24,9.295929,-1.9100429,IMG_20210223_102023.jpg,4
25,2.8906813,6.1907406,IMG_20200224_132140.jpg,5
26,8.153904,4.3043737,IMG_20210329_13252996.jpg,3
27,8.31948,4.956866,IMG_20200224_132801.jpg,3
28,3.4447665,6.3571663,IMG_20200224_132356.jpg,5
29,6.469658,5.782849,IMG_20210223_102432.jpg,3
30,7.993199,5.1388917,IMG_20200224_132419.jpg,3
31,3.1321337,6.373886,IMG_20200224_132431.jpg,5
32,8.99437,-0.767314,IMG_20210223_102156.jpg,4
33,5.891152,6.1497884,IMG_20210329_13252997.jpg,3
34,6.1432304,5.9159336,IMG_20210223_102817.jpg,3
35,9.059277,0.43348587,IMG_20200224_132627.jpg,4
36,8.795534,-1.5566022,IMG_20200224_132009.jpg,4
37,-2.7276535,5.195488,IMG_20210223_102552.jpg,2
38,8.361779,-0.5216919,IMG_20200224_131931.jpg,4
39,-4.830138,4.47545,IMG_20200224_1328011.jpg,2
40,-2.5906892,5.3877254,IMG_20210223_101932.jpg,2
41,5.117507,6.2641473,IMG_20200224_132237.jpg,5
42,6.7404494,5.3901787,IMG_20200224_132743.jpg,3
43,0.72545075,6.1863456,IMG_20200224_132145.jpg,1
44,-4.56759,4.492575,IMG_20210223_102620.jpg,2
45,-0.66979927,6.6443844,IMG_20210329_13252993.jpg,1
46,8.359265,4.036364,IMG_20200224_131855.jpg,0
47,3.7592885,6.1897526,IMG_20210329_13252992.jpg,5
48,1.4989322,6.378288,IMG_20210223_102219.jpg,1
49,3.065955,6.204885,IMG_20210223_102225.jpg,5
50,0.2229157,6.693648,IMG_20210329_132346.jpg,1
51,8.55842,-0.85062337,IMG_20200224_131922.jpg,4
52,0.22163533,6.2713594,IMG_20200224_132026.jpg,1
53,0.5710085,6.717738,IMG_20210329_13252990.jpg,1
54,8.256317,5.213837,IMG_20200224_132422.jpg,3
55,8.886795,0.12572426,IMG_20210329_13252991.jpg,4
56,8.349173,2.4984546,IMG_20200224_132812.jpg,0
57,8.629731,0.019794667,IMG_20200224_132609.jpg,4
58,8.9462385,2.2796872,IMG_20210223_102018.jpg,0
59,6.9662347,5.179582,IMG_20200224_132557.jpg,3
60,8.189073,4.0963025,IMG_20200224_132256.jpg,0
61,0.91414344,6.291914,IMG_20210223_102255.jpg,1
62,8.113178,5.094384,IMG_20200224_132726.jpg,3
63,8.705401,1.0761284,IMG_20210223_102731.jpg,0
64,8.810149,3.1925895,IMG_20200224_132444.jpg,0
65,8.760879,1.8526764,IMG_20210223_102309.jpg,0
66,3.51484,6.316366,IMG_20210223_102453.jpg,5
67,0.3341957,6.7274637,IMG_20200224_132121.jpg,1
68,8.777167,-1.5652227,IMG_20210223_102903.jpg,4
69,4.9689336,6.1271067,IMG_20210223_101950.jpg,5
70,8.439191,-0.5421106,IMG_20200224_132651.jpg,4
71,8.731251,-1.0480694,IMG_20200224_132309.jpg,4
72,2.1058528,6.368352,IMG_20210223_102322.jpg,1
73,4.2350836,6.4586124,IMG_20210223_102336.jpg,5
74,2.9469807,6.5590568,IMG_20210223_102121.jpg,5
75,8.732822,1.4304308,IMG_20200224_131952.jpg,0
76,8.541429,1.4327916,IMG_20210329_132320.jpg,0
77,0.5453889,6.90307,IMG_20210329_132446.jpg,1
78,7.8278375,4.633341,IMG_20200224_132244.jpg,3
79,4.994914,6.2750306,IMG_20210223_102737.jpg,5
80,-0.20674723,6.83504,IMG_20210223_102045.jpg,1
81,-4.7369504,4.480224,IMG_20210223_102657.jpg,2
82,-0.17809522,6.7827106,IMG_20210329_132522.jpg,1
83,9.231134,-0.80651355,IMG_20210223_102440.jpg,4
84,9.264087,0.020225259,IMG_20200224_132655.jpg,4
85,8.713302,2.385524,IMG_20210223_102520.jpg,0
86,5.400763,6.062291,IMG_20200224_132523.jpg,5
87,4.0152,6.3465514,IMG_20200224_132251.jpg,5
88,4.76301,6.2541347,IMG_20200224_132045.jpg,5
89,8.952404,2.572182,IMG_20210223_102907.jpg,0
90,0.80985075,6.692276,IMG_20200224_132737.jpg,1
91,8.358599,3.18444,IMG_20200224_132051.jpg,0
92,9.333333,-0.54470474,IMG_20200224_132657.jpg,4
93,1.382654,6.5460033,IMG_20200224_133005.jpg,1
94,7.980702,4.4515424,IMG_20200224_132454.jpg,3
95,-4.0219426,4.8681917,IMG_20210223_102127.jpg,2
96,-2.8940518,5.0542364,IMG_20210223_102721.jpg,2
97,3.4548814,6.296288,IMG_20210329_132303.jpg,5
98,8.524365,3.704587,IMG_20200224_132302.jpg,0
99,-2.7094676,5.2568727,IMG_20200224_133008.jpg,2
100,8.875329,-0.20240122,IMG_20200224_132100.jpg,4
101,8.464809,2.027218,IMG_20210223_102922.jpg,0
102,5.0921025,6.215307,IMG_20210223_102507.jpg,5
103,8.474223,3.3094974,IMG_20210223_101959.jpg,0
104,8.556409,2.1021297,IMG_20210223_102539.jpg,0
105,6.783045,5.868595,IMG_20200224_132710.jpg,3
106,-0.12942466,6.7230377,IMG_20210223_102707.jpg,1
107,-3.0041044,5.161095,IMG_20210329_132506.jpg,2
108,9.14335,-1.943976,IMG_20200224_132328.jpg,4
109,-3.030451,5.286674,IMG_20200224_132315.jpg,2
110,9.109097,0.2372383,IMG_20200224_132517.jpg,4
111,8.583985,-1.2571671,IMG_20200224_132503.jpg,4
112,2.3556836,6.1993523,IMG_20210223_102500.jpg,5
113,3.0494952,6.0844502,IMG_20200224_132729.jpg,5
114,7.7574596,5.161792,IMG_20200224_132701.jpg,3
115,8.359259,-1.1161956,IMG_20210223_102058.jpg,4
116,8.285108,3.8436599,IMG_20200224_132305.jpg,0
117,9.328894,-0.18455495,IMG_20210223_102313.jpg,4
118,8.434187,3.3471534,IMG_20210223_102703.jpg,0
119,8.515565,3.8960288,IMG_20200224_132500.jpg,0
120,8.607447,3.5750923,IMG_20200224_132716.jpg,0
121,9.05144,1.8575183,IMG_20200224_132110.jpg,0
122,-0.24745536,6.850787,IMG_20210329_132529.jpg,1
123,8.871105,-1.8622453,IMG_20210223_102847.jpg,4
124,9.046279,-1.855949,IMG_20210223_102853.jpg,4
125,9.156311,2.1576912,IMG_20210223_102933.jpg,0
126,7.9658294,4.607585,IMG_20200224_132228.jpg,3
127,9.239576,-1.222077,IMG_20210223_102954.jpg,4
128,8.931992,1.6708614,IMG_20210223_102820.jpg,0
129,8.680222,0.46421853,IMG_20200224_132348.jpg,4
130,8.827094,-1.2573767,IMG_20210329_132215.jpg,4
131,-3.3216522,5.323667,IMG_20210329_1325299.jpg,2
132,1.0429099,6.217328,IMG_20210223_102028.jpg,1
133,9.249753,-2.0103106,IMG_20200224_132003.jpg,4
134,-4.466464,4.68809,IMG_20210223_102558.jpg,2
135,8.464808,3.0887938,IMG_20200224_132217.jpg,0
136,6.0313563,6.0316863,IMG_20210223_101906.jpg,3
137,0.31306696,6.2226853,IMG_20210329_132529999.jpg,1
138,8.710812,-0.03229253,IMG_20210223_102823.jpg,4
139,0.26576602,6.879111,IMG_20200224_1330050.jpg,1
140,9.0724945,2.476004,IMG_20210223_102406.jpg,0
141,8.942388,-0.06829898,IMG_20210223_102412.jpg,4
142,-2.480804,5.3050027,IMG_20200224_132438.jpg,2
143,8.632677,2.793697,IMG_20210223_102836.jpg,0
144,-4.6424346,4.5828466,IMG_20210329_132438.jpg,2
145,1.7101344,6.402104,IMG_20210329_132414.jpg,1
146,2.4685938,6.4378085,IMG_20200224_132038.jpg,5
147,8.240051,5.1737785,IMG_20200224_132400.jpg,3
148,-2.8405886,4.966533,IMG_20210223_102359.jpg,2
149,0.08610232,6.4792614,IMG_20210223_102628.jpg,1
150,-3.8456724,4.9534616,IMG_20210223_102614.jpg,2
151,8.582906,0.16493517,IMG_20210223_102827.jpg,4
152,6.842172,5.395967,IMG_20210223_102212.jpg,3
153,-3.0735395,5.1154337,IMG_20210329_13252999.jpg,2
154,8.494676,2.182863,IMG_20200224_132416.jpg,0
155,7.3602195,4.974503,IMG_20210329_13252998.jpg,3
156,-4.6030846,4.547598,IMG_20210223_102603.jpg,2
157,-3.7483869,5.0205665,IMG_20200224_132833.jpg,2
158,0.6166311,6.1186604,IMG_20200224_131902.jpg,1
159,1.1919297,6.5389605,IMG_20210223_101901.jpg,1
